"ID","Designator","Footprint","数量","Comment","嘉立创编号",
2,"R3","R_0603_1608Metric",1,"47k",,,
3,"J1","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",1,"USB_C_Receptacle",C2927038,,
5,"RP3,RN0,RP2,RP1,RN3,RN2,RN1,RP0","R_0603_1608Metric",8,"49.9",,,
6,"U4,U5","Diodes_UDFN-10_1.0x2.5mm_P0.5mm",2,"AZ1045-04F",,,
7,"J3,P2,P3","USB_A_Molex_67643_Horizontal",3,"USB_A",C2765194,,
8,"R1,R2","R_0603_1608Metric",2,"5.1k",,,
10,"C5,C1","C_0805_2012Metric",2,"10uF",,,
11,"Y1","Crystal_HC49-4H_Vertical",1,"12MHz",C712768,,
12,"C6,C4,C3","C_0603_1608Metric",3,"0.1uF",,,
14,"C7","C_0603_1608Metric",1,"1uF",,,
15,"U1","SOT-23-6",1,"CH217K",,,
16,"J4","HDMI_A_Molex_208658-1001_Horizontal",1,"HDMI_A",C2962407,,
17,"R6","R_0603_1608Metric",1,"2k",,,
18,"U2","SSOP-28_3.9x9.9mm_P0.635mm",1,"CH334U",,,
19,"J5","Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal",1,"AudioJack3",C521460,,
