Designator,Comment,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",176.530000,-114.046000,0.000000,T
"C2","330uF","C_Elec_6.3x5.8",186.690000,-109.220000,180.000000,T
"C3","0.1uF","C_0603_1608Metric",176.530000,-111.506000,180.000000,T
"C4","0.1uF","C_0603_1608Metric",176.530000,-109.220000,180.000000,T
"C5","10uF","C_0805_2012Metric",176.530000,-106.680000,180.000000,T
"C6","0.1uF","C_0603_1608Metric",109.250000,-90.932000,0.000000,T
"C7","1uF","C_0603_1608Metric",176.530000,-104.140000,180.000000,T
"J1","USB_C_Receptacle","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TMnt_Horizontal",207.010000,-109.220000,90.000000,T
"J2","Nunchunk","Nunchunk",215.646000,-129.032000,-90.000000,T
"J3","USB_A","USB_A_Molex_67643_Horizontal",104.420000,-124.770000,-90.000000,T
"J4","HDMI_A","HDMI_A_Molex_208658-1001_Horizontal",98.425000,-105.410000,-90.000000,T
"J5","AudioJack3","Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal",97.790000,-88.392000,90.000000,T
"P1","Conn_02x30_Odd_Even_Shielded","PinHeader_2x30_P2.54mm_Vertical",116.840000,-80.010000,90.000000,T
"P2","USB_A","USB_A_Molex_67643_Horizontal",147.320000,-127.000000,90.000000,T
"P3","USB_A","USB_A_Molex_67643_Horizontal",147.320000,-97.790000,90.000000,T
"P4","Conn_02x30_Odd_Even_Shielded","PinHeader_2x30_P2.54mm_Vertical",116.840000,-142.240000,90.000000,T
"R1","5.1k","R_0603_1608Metric",195.517000,-118.618000,180.000000,T
"R2","5.1k","R_0603_1608Metric",196.025000,-106.680000,180.000000,T
"R3","47k","R_0603_1608Metric",196.025000,-109.220000,0.000000,T
"R6","2k","R_0603_1608Metric",109.250000,-85.852000,0.000000,T
"RN0","49.9","R_0603_1608Metric",114.300000,-105.029000,-90.000000,T
"RN1","49.9","R_0603_1608Metric",114.300000,-108.204000,90.000000,T
"RN2","49.9","R_0603_1608Metric",111.252000,-111.633000,90.000000,T
"RN3","49.9","R_0603_1608Metric",109.728000,-102.299000,-90.000000,T
"RP0","49.9","R_0603_1608Metric",115.824000,-106.108000,-90.000000,T
"RP1","49.9","R_0603_1608Metric",115.824000,-109.220000,90.000000,T
"RP2","49.9","R_0603_1608Metric",112.776000,-112.776000,90.000000,T
"RP3","49.9","R_0603_1608Metric",111.252000,-103.569000,-90.000000,T
"U1","CH217K","SOT-23-6",195.580000,-113.030000,0.000000,T
"U2","CH334U","SSOP-28_3.9x9.9mm_P0.635mm",168.910000,-109.220000,-90.000000,T
"U3","DAP","DAP",147.320000,-109.220000,-90.000000,T
"U4","AZ1045-04F","Diodes_UDFN-10_1.0x2.5mm_P0.5mm",106.680000,-108.712000,90.000000,T
"U5","AZ1045-04F","Diodes_UDFN-10_1.0x2.5mm_P0.5mm",106.680000,-105.664000,90.000000,T
"Y1","12MHz","Crystal_HC49-4H_Vertical",154.850000,-108.966000,180.000000,T
